host,timestamp,container_cpu_pct,container_mem_used_mb,container_mem_limit_mb,container_net_rx_mb,container_net_tx_mb,host_cpu_used_pct,host_mem_used_mb,host_mem_total_mb,host_load1,pg_active_connections
web-server,2026-09-25T19:29:05Z,17.09,39.88MiB,1.93GiB,1.11GB,1.21GB,38,619,1976,0.30,1
web-server,2026-09-25T19:29:15Z,12.77,40.11MiB,1.93GiB,1.11GB,1.21GB,7,638,1976,0.48,1
web-server,2026-09-25T19:29:23Z,12.78,40MiB,1.93GiB,1.11GB,1.22GB,7,637,1976,0.49,1
web-server,2026-09-25T19:29:32Z,0.81,39.45MiB,1.93GiB,1.11GB,1.22GB,1,636,1976,0.41,1
web-server,2026-09-25T19:29:40Z,0.00,39.45MiB,1.93GiB,1.11GB,1.22GB,1,640,1976,0.38,1
web-server,2026-09-25T19:29:49Z,0.00,39.45MiB,1.93GiB,1.11GB,1.22GB,1,643,1976,0.32,1
web-server,2026-09-25T19:29:57Z,0.00,39.45MiB,1.93GiB,1.11GB,1.22GB,0,641,1976,0.27,1
web-server,2026-09-25T19:30:06Z,0.73,39.45MiB,1.93GiB,1.11GB,1.22GB,2,643,1976,0.25,1
web-server,2026-09-25T19:30:14Z,3.28,37.72MiB,1.93GiB,1.11GB,1.22GB,5,633,1976,0.29,1
web-server,2026-09-25T19:30:22Z,29.17,60.36MiB,1.93GiB,1.12GB,1.22GB,23,654,1976,0.39,2
web-server,2026-09-25T19:30:31Z,21.00,51.45MiB,1.93GiB,1.12GB,1.22GB,16,645,1976,0.36,1
web-server,2026-09-25T19:30:40Z,21.04,51.45MiB,1.93GiB,1.12GB,1.22GB,16,648,1976,0.97,1
web-server,2026-09-25T19:30:48Z,21.03,51.23MiB,1.93GiB,1.12GB,1.23GB,16,658,1976,0.90,1
web-server,2026-09-25T19:30:57Z,20.25,50.25MiB,1.93GiB,1.13GB,1.23GB,15,630,1976,0.98,1
web-server,2026-09-25T19:31:05Z,23.62,51.57MiB,1.93GiB,1.13GB,1.23GB,14,652,1976,0.91,1
web-server,2026-09-25T19:31:14Z,21.46,51.23MiB,1.93GiB,1.13GB,1.24GB,16,638,1976,1.17,1
web-server,2026-09-25T19:31:22Z,25.28,50.65MiB,1.93GiB,1.14GB,1.24GB,24,674,1976,0.99,1
web-server,2026-09-25T19:31:31Z,21.20,51.02MiB,1.93GiB,1.14GB,1.24GB,17,644,1976,0.91,1
web-server,2026-09-25T19:31:39Z,21.89,50.93MiB,1.93GiB,1.14GB,1.24GB,18,660,1976,0.99,1
web-server,2026-09-25T19:31:48Z,22.94,51.21MiB,1.93GiB,1.14GB,1.25GB,17,676,1976,1.06,1
web-server,2026-09-25T19:31:56Z,25.05,50.19MiB,1.93GiB,1.15GB,1.25GB,13,634,1976,0.98,1
web-server,2026-09-25T19:32:05Z,20.14,50.93MiB,1.93GiB,1.15GB,1.25GB,17,659,1976,1.14,1
web-server,2026-09-25T19:32:13Z,20.86,50.88MiB,1.93GiB,1.15GB,1.25GB,14,640,1976,0.97,1
web-server,2026-09-25T19:32:22Z,20.50,51.33MiB,1.93GiB,1.15GB,1.26GB,20,630,1976,0.97,2
web-server,2026-09-25T19:32:30Z,22.70,51.12MiB,1.93GiB,1.16GB,1.26GB,17,648,1976,1.05,1
web-server,2026-09-25T19:32:39Z,24.84,49.83MiB,1.93GiB,1.16GB,1.26GB,17,649,1976,0.97,1
web-server,2026-09-25T19:32:47Z,20.44,50.62MiB,1.93GiB,1.16GB,1.26GB,16,632,1976,0.90,1
web-server,2026-09-25T19:32:56Z,24.90,51.1MiB,1.93GiB,1.16GB,1.27GB,14,638,1976,0.83,3
web-server,2026-09-25T19:33:04Z,21.36,51.3MiB,1.93GiB,1.17GB,1.27GB,15,640,1976,0.85,1
web-server,2026-09-25T19:33:13Z,21.49,51.16MiB,1.93GiB,1.17GB,1.27GB,17,634,1976,0.72,1
web-server,2026-09-25T19:33:21Z,0.00,51.24MiB,1.93GiB,1.17GB,1.27GB,0,645,1976,0.83,1
web-server,2026-09-25T19:33:30Z,0.00,50.79MiB,1.93GiB,1.17GB,1.27GB,1,642,1976,0.76,1
web-server,2026-09-25T19:33:39Z,0.00,50.79MiB,1.93GiB,1.17GB,1.27GB,2,652,1976,0.72,1
web-server,2026-09-25T19:33:47Z,0.04,50.79MiB,1.93GiB,1.17GB,1.27GB,1,647,1976,0.61,1
web-server,2026-09-25T19:33:56Z,0.35,50.79MiB,1.93GiB,1.17GB,1.27GB,1,649,1976,0.56,1
web-server,2026-09-25T19:34:04Z,0.35,50.79MiB,1.93GiB,1.17GB,1.27GB,1,637,1976,0.77,1
web-server,2026-09-25T19:34:12Z,117.07,63.91MiB,1.93GiB,1.17GB,1.28GB,9,665,1976,0.73,1
web-server,2026-09-25T19:34:21Z,15.90,53.99MiB,1.93GiB,1.18GB,1.28GB,22,658,1976,0.75,1
web-server,2026-09-25T19:34:30Z,21.44,53.91MiB,1.93GiB,1.18GB,1.28GB,14,667,1976,0.64,1
web-server,2026-09-25T19:34:38Z,24.79,54.07MiB,1.93GiB,1.18GB,1.28GB,18,657,1976,0.62,1
web-server,2026-09-25T19:34:47Z,21.14,53.43MiB,1.93GiB,1.18GB,1.29GB,20,638,1976,0.52,1
web-server,2026-09-25T19:34:55Z,22.30,45.9MiB,1.93GiB,1.19GB,1.29GB,15,629,1976,0.56,1
web-server,2026-09-25T19:35:04Z,22.40,44.02MiB,1.93GiB,1.19GB,1.29GB,20,657,1976,0.47,1
web-server,2026-09-25T19:35:12Z,20.39,43.82MiB,1.93GiB,1.19GB,1.29GB,15,645,1976,0.40,1
web-server,2026-09-25T19:35:21Z,20.77,43.88MiB,1.93GiB,1.19GB,1.3GB,17,658,1976,0.37,1
web-server,2026-09-25T19:35:29Z,21.57,43.15MiB,1.93GiB,1.2GB,1.3GB,15,652,1976,0.97,1
web-server,2026-09-25T19:35:38Z,25.78,43.82MiB,1.93GiB,1.2GB,1.3GB,15,642,1976,0.90,1
web-server,2026-09-25T19:35:46Z,20.77,44.92MiB,1.93GiB,1.2GB,1.31GB,10,642,1976,0.91,1
web-server,2026-09-25T19:35:55Z,24.89,44.77MiB,1.93GiB,1.2GB,1.31GB,13,648,1976,0.92,1
web-server,2026-09-25T19:36:03Z,20.84,45MiB,1.93GiB,1.21GB,1.31GB,15,640,1976,1.15,1
web-server,2026-09-25T19:36:12Z,20.57,43.77MiB,1.93GiB,1.21GB,1.31GB,16,648,1976,0.97,1
web-server,2026-09-25T19:36:20Z,20.46,45.13MiB,1.93GiB,1.21GB,1.32GB,15,642,1976,0.89,1
web-server,2026-09-25T19:36:29Z,22.57,45.36MiB,1.93GiB,1.22GB,1.32GB,14,640,1976,1.06,1
web-server,2026-09-25T19:36:37Z,23.04,45.71MiB,1.93GiB,1.22GB,1.32GB,12,651,1976,0.89,1
web-server,2026-09-25T19:36:46Z,20.55,45.54MiB,1.93GiB,1.22GB,1.32GB,14,656,1976,0.82,1
web-server,2026-09-25T19:36:54Z,21.81,45.5MiB,1.93GiB,1.22GB,1.33GB,15,625,1976,1.22,1
web-server,2026-09-25T19:37:03Z,21.66,46.49MiB,1.93GiB,1.23GB,1.33GB,14,646,1976,1.26,1
web-server,2026-09-25T19:37:11Z,16.66,45.88MiB,1.93GiB,1.23GB,1.33GB,3,644,1976,1.16,1
